lexeme,stem,class
"maje/""fi/+",majefi,Ca
maja/yi/,majayi,ai
"ma""ja""nu/+ni""",majanuni,ai
"ma""i",mai,a-u
"mahu""ku""nci/+",mahukunci,RED
mahu/ci/,mahuci,ai
"maho/""r+i/+",mahori,Ca
"maho/""ma""ci/+",mahomaci,a-a
"mahi""mma""nci/+",mahimmanci,Ca
"maha""uka""ci/+",mahaukaci,a-a
"maha""uci/+",mahauci,u-a
"maha""ssa""di/+",mahassadi,RED
"maha""r+i/+",mahari,a-a
"maha""rbi/+",maharbi,Ca
"maha""nka""lci/+",mahankalci,Ca
"maha""ni/+",mahani,a-a
"maha""iha""yi/+",mahaihayi,a-a
"maha""ifi/+",mahaifi,Ca
"maha""gi/+",mahagi,a-a
"maha""dda""ci/+",mahaddaci,a-a
"magu""tsu""r+i/+",magutsuri,RED
"magu""da""nci/+",magudanci,RED
magir+ki/,magirki,ai
magir+bi/,magirbi,ai
"magi""ni/+",magini,Ca
"mage""wa""yi/+",magewayi,a-a
"maga""uci/+",magauci,u-a
"ma""ga""ri/+fi""",magarifi,ai
"ma/ga""ni/+",magani,RED
"ma""ga+na""",magana,RED
"maga/""ji/+",magaji,a-a
"maga""gga""uci/+",magaggauci,u-a
"maga""bci/+",magabci,Ca
"maga""ba/""ci/+",magabaci,a-a
mafya/'di/,mafyadi,ai
"mafi""yi/+",mafiyi,Ca
"mafi/""fi/""ci/+",mafifici,Ca
mafici/,mafici,ai
"mafi""",mafi,ai
"mafa""uci/+",mafauci,u-a
"mafa""shi/+",mafashi,a-a
"mafa""r+ka""ci/+",mafarkaci,a-a
"mafa""r+a""uci/+",mafarauci,RED
"ma""fa+lla""s",mafallas,a-a
"mafa""'di/+",mafadi,a-a
"mafa""'da/""ci/+",mafadaci,a-a
"ma""fa/+da""",mafada,awa
"madunk'u""li/+",madunkuli,u-a
"ma'du""nki/+",madunki,u-a
"ma/""du+gu/+",madugu,Cai
madu/bi/,madubi,ai
"ma'do""ri/+",madori,Ca
mado/ki/,madoki,ai
"made""ide""ici/+",madeideici,Ca
"mada""uwa""-mi/+",madauwa-mi,a-a
ma'dauki/,madauki,RED
madambaci/,madambaci,ai
"ma'da""ma+'da""",madamada,Cai
"ma""da""k'u/+k'i""",madakuki,ai
"mada""ida""ici/+",madaidaici,Ca
"mada/""ci/+",madaci,a-a
mada'bi/,madabi,RED
"macu/""ci/+",macuci,u-a
maco/ki/,macoki,ai
"maci""yi/+",maciyi,Ca
mace/ta/,maceta,Cai
mace/ci/,maceci,ai
"ma""ca+cce/+",macacce,u
"mabu/""shi/+",mabushi,u-a
"mabu""ka/""ci/+",mabukaci,a-a
"mabu""gi/+",mabugi,u-a
mabu/'di/,mabudi,ai
"mabi""yi/+",mabiyi,Ca
"maba""rci/+",mabarci,Ca
"ma'ba""nna""ci/+",mabannaci,a-a
ma'balli/,maballi,ai
"maba/""'a""nci/+",mabaanci,Ca
ma'auni/,maauni,ai
"ma'a""ski/+",maaski,Ca
"ma'a""r+i/+",maari,a-a
