stem,lexeme,class
posad,посад,ok
posljed,послйед,ok
posox,посох,ok
pot,пот,ok
potseluj,потселуй,chik
povod,повод,ok
pozhar,пожар,ok
pozjom,позйом,ok
prigun,пригун,chik-ok
prishshj,пришшй,ik
prjed,прйед,ok
prjedmjet,прйедмйет,ik
prjibor,прйибор,chik
prjigorod,прйигород,ok
prjiklad,прйиклад,ok
prjimjer,прйимйер,chik
prjirjez,прйирйез,ok
prjirost,прйирост,ok
prjisos,прйисос,ok
prjistup,прйиступ,ok
prjival,прйивал,ok
prjivar,прйивар,ok
prjivjes,прйивйес,ok
prorost,пророст,ok
prostak,простак,ok
protsent,протсент,ik
provod,провод,ok
provodnjik,проводнйик,ok
prud,пруд,ik-ok
prut,прут,ik-ok
psjix,псйих,ik
ptjenjets,птйенйетс,chik-ik
pud,пуд,ik-ok
puf,пуф,ik
puk,пук,ok
pul,пул,ik
punkt,пункт,ik
pup,пуп,ok
pups,пупс,ik
pustjak,пустяк,ok
putchj,путчй,ik
pux,пух,ok
puxovjik,пуховйик,ok
puzan,пузан,chik-ok
puzirj,пузирй,ik
rab,раб,ok
rad,рад,ik-ok
rak,рак,ok
ranjets,ранйетс,chik-ik
raspad,распад,ok
rasskaz,рассказ,ik
rasskazjets,рассказйетс,ik
rasstjegaj,расстйегай,chik
raxjit,рахйит,ik
raz,раз,ik-ok
razbojnjik,разбойнйик,ok
razgovor,разговор,chik
raznovjes,разновйес,ok
razum,разум,ok
ribak,рибак,ok
risak,рисак,ok
rjad,ряд,ok
rjejestr,рйейестр,ik
rjekrut,рйекрут,ik
rjestoran,рйесторан,chik
rjez,рйез,ok
rjezjets,рйезйетс,ik
rjis,рйис,ok
rjitor,рйитор,ik
rjov,рйов,ok
rjukzak,рюкзак,ok
rod,род,ik-ok
rodjimjets,родйимйетс,chik-ik
rodnjik,роднйик,ok
rog,рог,ok
rogalj,рогалй,ik
rok,рок,ok
rol,рол,ik
roman,роман,chik-ik-ok
romans,романс,ik
romb,ромб,ik
ross,росс,ik
rost,рост,ik-ok
rot,рот,ik-ok
rov,ров,ik-ok
rozan,розан,chik
rubjets,рубйетс,chik-ik
rubjezh,рубйеж,ok
rublj,рублй,ik
rudnjik,руднйик,ok
rukav,рукав,chik-ok
ruljet,рулйет,ik
rulon,рулон,chik
runduk,рундук,ok
rusak,русак,ok
rust,руст,ik
sad,сад,ik-ok
sadok,садок,ok
sak,сак,ok
salat,салат,ik
salon,салон,chik-ik
samovar,самовар,chik
san,сан,ok
sandal,сандал,ik
sangvjin,сангвйин,ik
sap,сап,ok
sapog,сапог,ok
sarafan,сарафан,chik
saraj,сарай,chik
satjir,сатйир,ik
saxar,сахар,ok
sazan,сазан,chik
schjastljivjets,счястлйивйетс,chik-ik
shag,шаг,ok
shalash,шалаш,ik
shar,шар,ik-ok
sharf,шарф,ik
shashlik,шашлик,ok
shax,шах,ok
shelom,шелом,ok
shest,шест,ik-ok
ship,шип,ik-ok
shish,шиш,ok
shkaf,шкаф,chik-ik
shlik,шлик,ok
shmat,шмат,ok
shnur,шнур,ok
shopot,шопот,ok
shpunt,шпунт,ik
shram,шрам,ik
shshjelkun,шшйелкун,chik
shshjip,шшйип,ok
shshjipjets,шшйипйетс,chik-ik
shshjit,шшйит,ik-ok
shshjokot,шшйокот,ok
shshjolk,шшйолк,ok
shshjup,шшюп,ik
shshjur,шшюр,ok
shtab,штаб,ik
shtamb,штамб,ik
shtamp,штамп,ik
shtik,штик,ok
shtjift,штйифт,ik
shtrjix,штрйих,ok
shturval,штурвал,chik
shum,шум,ok
shurup,шуруп,chik
shust,шуст,ik
shut,шут,ik-ok
shvjed,швйед,ok
sichj,сичй,ik
sin,син,ok
sir,сир,chik-ok
sirjets,сирйетс,ik
sjejm,сйейм,ik
sjekrjet,сйекрйет,ik
sjekrjetjets,сйекрйетйетс,ik
sjelj,сйелй,ik
sjerjednjak,сйерйедняк,ok
sjernjik,сйернйик,ok
sjerp,сйерп,ik-ok
sjet,сйет,ok
sjevjer,сйевйер,ik
sjibjirjak,сйибйиряк,ok
sjig,сйиг,ok
sjiljen,сйилйен,ok
sjinkljit,сйинклйит,ik
sjinod,сйинод,ik
sjitjets,сйитйетс,ik
sjurtuk,сюртук,ok
sjuzhet,сюжет,ik
skak,скак,ok
skandal,скандал,chik
skat,скат,ok
skjeljet,скйелйет,ik
skljiz,склйиз,ok
skol,скол,ok
skorpjion,скорпйион,chik
skrjip,скрйип,ok
skvjer,сквйер,ik
skvoznjak,сквозняк,ok
slad,слад,ok
sljed,слйед,ok
sljiv,слйив,ok
sljot,слйот,ok
slon,слон,ik
slovarj,словарй,ik
slux,слух,ok
smik,смик,ok
smjex,смйех,ok
snarjad,снаряд,ik
snjeg,снйег,ok
snop,сноп,ik-ok
sok,сок,ok
sokol,сокол,ik-ok
soldat,солдат,ik
solod,солод,ok
solovjej,соловйей,chik
som,сом,ik
son,сон,ok
sosjed,сосйед,ok
sosud,сосуд,ik
sosun,сосун,chik-ok
sovjet,совйет,ik
spjil,спйил,ok
spor,спор,ok
srjez,срйез,ok
srost,срост,ok
stakan,стакан,chik
stan,стан,chik-ik-ok
starjets,старйетс,chik-ik
starjik,старйик,ok
statjist,статйист,ik
stav,став,ok
stavjets,ставйетс,chik-ik
stjag,стяг,ok
stjekloplast,стйеклопласт,ik
stjen,стйен,ok
stjer,стйер,ik
stjix,стйих,ok
stog,стог,ok
stol,стол,ik
stolb,столб,ik-ok
ston,стон,ok
storozh,сторож,ok
strax,страх,ok
strjigun,стрйигун,ok
strug,струг,ok
studjent,студйент,ik
stuk,стук,ok
stul,стул,chik-ik
stvol,ствол,ik
sud,суд,ok
sudak,судак,ok
sudarj,сударй,ik
suk,сук,ok
sultan,султан,chik
sunduk,сундук,ok
sup,суп,chik
supjets,супйетс,ik
sustav,сустав,chik
suvjenjir,сувйенйир,chik
suxarj,сухарй,ik
svat,сват,ok
svjet,свйет,ik-ok
svjetljak,свйетляк,ok
svjist,свйист,ok
svjistun,свйистун,ok
svjitjer,свйитйер,ok
svod,свод,ik
sxolast,шоласт,ik
tabak,табак,ok
tabun,табун,ok
tagan,таган,ok
tajnjik,тайнйик,ok
takt,такт,ik
tal,тал,ik-ok
talant,талант,ik
talon,талон,chik
tampon,тампон,chik
tarakan,таракан,chik
taran,таран,ok
tarbagan,тарбаган,chik
tat,тат,ok
taz,таз,ik
tin,тин,ok
tjazh,тяж,ik
tjeatr,тйеатр,ik
tjeljefon,тйелйефон,chik
tjerjem,тйерйем,ok
tjerrjikon,тйеррйикон,ik
tjip,тйип,ik
tjipjets,тйипйетс,chik-ik
tjir,тйир,ik
tjiran,тйиран,chik
tjis,тйис,ok
tjitan,тйитан,ik
tjos,тйос,ok
tjufjak,тюфяк,ok
tjuk,тюк,ok
tjuljpan,тюлйпан,chik
tjutjun,тютюн,ik
tkachj,ткачй,ik
tok,ток,ok
tol,тол,ok
tolj,толй,ik
tolk,толк,ok
tolkachj,толкачй,ik
tolstjak,толстяк,ok
tom,том,ik-ok
ton,тон,ik-ok
top,топ,ik-ok
topor,топор,ik-ok
tor,тор,ik-ok
torg,торг,ok
torjets,торйетс,chik-ik-ok
tormoz,тормоз,ok
tort,торт,ik
tovar,товар,ok
traktjir,трактйир,chik
tramvaj,трамвай,chik
trjen,трйен,ik
trjeskun,трйескун,ok
trop,троп,ik
tros,трос,ik
trotuar,тротуар,chik
trup,труп,ik
trus,трус,ik
tsarj,тсарй,ik
tsentr,тсентр,ik
tsep,тсеп,ok
tsigan,тсиган,ok
tsiljindr,тсилйиндр,ik
tsvjet,тсвйет,ik-ok
tsvjetnjik,тсвйетнйик,ok
tujes,туйес,ok
tuk,тук,ok
tulup,тулуп,chik
tun,тун,ik
tungus,тунгус,ok
tupjik,тупйик,ok
tur,тур,ik-ok
tush,туш,ok
tut,тут,ik-ok
tuz,туз,ik
ubor,убор,ok
uchjenjik,учйенйик,ok
ud,уд,ok
udav,удав,chik
ugol,угол,ok
uk,ук,ok
ukol,укол,chik
upad,упад,ok
urod,урод,ok
us,ус,ik-ok
ushan,ушан,ok
ushat,ушат,ik
ustup,уступ,chik-ok
utjug,утюг,ok
uval,увал,chik
uzh,уж,ik-ok
uzjel,узйел,ok
uzor,узор,chik
vagon,вагон,chik
val,вал,ik-ok
valun,валун,chik
valux,валух,ok
var,вар,ok
vibros,виброс,ok
virjez,вирйез,ok
virost,вирост,ok
visjev,висйев,ok
vivod,вивод,ok
vizhim,вижим,ok
vjaz,вяз,ok
vjechjer,вйечйер,ok
vjenjed,вйенйед,ik
vjenjets,вйенйетс,chik-ik
vjeprj,вйепрй,ik
vjerjes,вйерйес,ok
vjerx,вйерх,ok
vjes,вйес,ok
vjetjer,вйетйер,ok
vjid,вйид,ik-ok
vjint,вйинт,ik
vjir,вйир,ok
vjis,вйис,ok
vjitamjin,вйитамйин,chik
vjjun,вйюн,ok
vnuk,внук,ok
vod,вод,ok
